Gender;Married;Dependents;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;Loan_Status
Male;Yes;0;No;medium_high;null;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;1;No;medium_low;medium_low;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;2;No;medium_high;medium_low;high;medium_long_term;1.0;Urban;Y
Male;Yes;2;No;low;medium_high;medium_low;medium_long_term;Nil;Urban;Y
Male;No;0;No;medium_low;null;medium_low;medium_long_term;1.0;Urban;Y
Male;Yes;0;Yes;low;medium_high;medium_high;medium_long_term;1.0;Urban;Y
Female;No;1;No;low;null;medium_low;medium_long_term;1.0;Semiurban;Y
Male;Yes;2;No;medium_high;null;medium_high;medium_long_term;0.0;Rural;N
Male;Yes;2;Nil;high;null;high;medium_long_term;1.0;Urban;Y
Male;No;0;No;low;medium_low;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;0;No;medium_low;null;medium_low;medium_long_term;1.0;Urban;Y
Male;Yes;1;Nil;low;medium_low;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;3;No;medium_high;null;low;medium_short_term;Nil;Urban;Y
Male;Yes;2;Nil;high;null;medium_high;medium_long_term;0.0;Semiurban;N
Female;No;0;No;medium_high;null;medium_high;medium_long_term;1.0;Semiurban;Y
Male;No;1;No;medium_high;null;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;2;No;medium_high;medium_high;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;3;No;medium_low;low;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;0;No;high;medium_high;high;medium_long_term;1.0;Urban;Y
Male;No;0;No;low;medium_high;medium_low;medium_short_term;1.0;Semiurban;Y
Male;Yes;1;No;low;medium_low;low;medium_long_term;1.0;Urban;Y
Female;No;3;No;low;null;low;medium_short_term;1.0;Urban;Y
Nil;No;0;No;medium_high;null;medium_high;medium_long_term;1.0;Urban;Y
Female;No;0;No;medium_low;null;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;medium_high;medium_high;high;medium_long_term;1.0;Urban;Y
Male;No;0;No;low;medium_high;medium_high;medium_long_term;0.0;Rural;N
Male;Yes;2;No;medium_high;medium_low;medium_high;medium_long_term;Nil;Urban;Y
Male;Yes;0;No;high;medium_high;high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;medium_low;low;medium_low;medium_long_term;Nil;Semiurban;Y
Male;No;0;No;medium_low;medium_low;medium_high;medium_short_term;1.0;Urban;Y
Female;No;0;No;low;null;medium_low;medium_long_term;1.0;Semiurban;Y
Male;Yes;2;No;high;low;medium_high;medium_long_term;1.0;Urban;Y
Male;No;0;No;medium_low;medium_low;medium_high;medium_long_term;1.0;Semiurban;Y
Male;Yes;0;No;low;medium_high;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;low;medium_low;medium_high;medium_long_term;1.0;Urban;Y
Male;No;0;No;medium_low;null;medium_high;medium_long_term;0.0;Semiurban;N
Male;Yes;2;Nil;high;medium_high;medium_high;medium_short_term;1.0;Urban;Y
Male;Yes;0;Yes;low;medium_high;medium_low;medium_long_term;1.0;Urban;Y
Male;No;0;Yes;high;null;medium_low;medium_long_term;1.0;Urban;Y
Male;No;0;No;medium_low;medium_low;medium_high;medium_long_term;1.0;Urban;Y
Male;Yes;0;No;medium_high;low;medium_low;medium_long_term;1.0;Urban;Y
Female;No;0;No;medium_low;null;medium_high;medium_long_term;1.0;Urban;Y
