gender,married,dependents,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
male,yes,0,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,1,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,2,no,medium_high,medium_low,high,medium_long_term,1.0,urban,y
male,yes,2,no,low,medium_high,medium_low,medium_long_term,nil,urban,y
male,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,urban,y
male,yes,0,yes,low,medium_high,medium_high,medium_long_term,1.0,urban,y
female,no,1,no,low,null,medium_low,medium_long_term,1.0,semiurban,y
male,yes,2,no,medium_high,null,medium_high,medium_long_term,0.0,rural,n
male,yes,2,nil,high,null,high,medium_long_term,1.0,urban,y
male,no,0,no,low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,urban,y
male,yes,1,nil,low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,no,3,no,medium_high,null,low,medium_short_term,nil,urban,y
male,yes,2,nil,high,null,medium_high,medium_long_term,0.0,semiurban,n
female,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,semiurban,y
male,no,1,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
male,yes,2,no,medium_high,medium_high,medium_high,medium_long_term,1.0,urban,y
male,yes,3,no,medium_low,low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,high,medium_high,high,medium_long_term,1.0,urban,y
male,no,0,no,low,medium_high,medium_low,medium_short_term,1.0,semiurban,y
male,yes,1,no,low,medium_low,low,medium_long_term,1.0,urban,y
female,no,3,no,low,null,low,medium_short_term,1.0,urban,y
nil,no,0,no,medium_high,null,medium_high,medium_long_term,1.0,urban,y
female,no,0,no,medium_low,null,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_high,medium_high,high,medium_long_term,1.0,urban,y
male,no,0,no,low,medium_high,medium_high,medium_long_term,0.0,rural,n
male,yes,2,no,medium_high,medium_low,medium_high,medium_long_term,nil,urban,y
male,yes,0,no,high,medium_high,high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_low,low,medium_low,medium_long_term,nil,semiurban,y
male,no,0,no,medium_low,medium_low,medium_high,medium_short_term,1.0,urban,y
female,no,0,no,low,null,medium_low,medium_long_term,1.0,semiurban,y
male,yes,2,no,high,low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,semiurban,y
male,yes,0,no,low,medium_high,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,null,medium_high,medium_long_term,0.0,semiurban,n
male,yes,2,nil,high,medium_high,medium_high,medium_short_term,1.0,urban,y
male,yes,0,yes,low,medium_high,medium_low,medium_long_term,1.0,urban,y
male,no,0,yes,high,null,medium_low,medium_long_term,1.0,urban,y
male,no,0,no,medium_low,medium_low,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,medium_high,low,medium_low,medium_long_term,1.0,urban,y
female,no,0,no,medium_low,null,medium_high,medium_long_term,1.0,urban,y
male,yes,0,no,low,medium_low,medium_low,medium_long_term,1.0,semiurban,y
male,no,0,no,high,medium_high,medium_high,medium_long_term,1.0,semiurban,n
female,no,0,no,medium_low,null,medium_low,medium_long_term,1.0,urban,y
male,yes,0,no,medium_high,medium_high,medium_high,nil,nil,urban,y
